Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-12-29 00:00:00,2026-01-13 00:00:00,103597,Velocity Check,,"R$ 5545,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=913V.6758.5260.6435799-X&numdoc=26669170000157,"",Compensando,             67.679
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-12-29 00:00:00,2026-01-13 00:00:00,103656,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=109S.1188.8981.9526699-Y&numdoc=26669170000157,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-12-29 00:00:00,2026-01-13 00:00:00,103517,3DS 2.0,,"R$ 132,65","R$ 0,00","R$ 2,00","R$ 2,65","R$ 137,30",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=167S.1918.3434.4931099-W&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/c289a14e-fdd7-405f-b46b-6486278991bf,Pendente,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-12-29 00:00:00,2026-01-13 00:00:00,103825,Pagador,,"R$ 1387,76","R$ 0,00","R$ 23,00","R$ 27,76","R$ 1438,52",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=108A.1553.1751.4153799-X&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/c22566fd-c607-4add-ab09-cbc9ef1b4f61,Pendente,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-12-29 00:00:00,2026-01-13 00:00:00,103547,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=117S.0345.8135.4734399-W&numdoc=28589883000136,"",Compensando,                  6
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-12-29 00:00:00,2026-01-13 00:00:00,103716,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=202Y.1140.8091.7270099-R&numdoc=28589883000136,"",Compensando,                 68
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-12-29 00:00:00,2026-01-13 00:00:00,103757,Pagador,,"R$ 100,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=212U.8808.2752.1341799-R&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-11-26 00:00:00,2025-12-11 00:00:00,101587,Velocity Check,,"R$ 4102,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=549Y.5204.9994.5745499-Y&numdoc=26669170000157,"",Compensando,             18.990
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-11-26 00:00:00,2025-12-11 00:00:00,101641,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=198Y.5995.2491.7352699-X&numdoc=26669170000157,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-11-26 00:00:00,2025-12-11 00:00:00,101515,3DS 2.0,,"R$ 132,65","R$ 0,00","R$ 3,28","R$ 2,65","R$ 138,58",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=163V.0266.6561.3608599-S&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/61824e64-939f-407f-9613-7bfe8fc6c45c,Pendente,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-11-26 00:00:00,2025-12-11 00:00:00,101793,Pagador,,"R$ 4164,17","R$ 0,00","R$ 113,98","R$ 83,28","R$ 4361,43",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=179I.4605.4932.1468499-Y&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/d3909e0b-4130-4ae1-bfcf-e72c92185247,Pendente,              7.036
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-11-26 00:00:00,2025-12-11 00:00:00,101542,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=638X.7958.3234.6562699-D&numdoc=28589883000136,"",Compensando,                  6
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-11-26 00:00:00,2025-12-11 00:00:00,101693,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=177W.1040.8977.9401999-W&numdoc=28589883000136,"",Compensando,                 82
